1.00000000000000e+001,2.31296000000000e+001,-1.64815000000000e+002
1.41421000000000e+001,2.31080000000000e+001,-1.70968000000000e+002
2.00000000000000e+001,2.28750000000000e+001,-1.75458000000000e+002
2.82843000000000e+001,2.29842000000000e+001,-1.77630000000000e+002
4.00000000000000e+001,2.28003000000000e+001,1.79468000000000e+002
5.65685000000000e+001,2.26967000000000e+001,1.78152000000000e+002
8.00000000000000e+001,2.21819000000000e+001,1.72439000000000e+002
1.13137000000000e+002,2.15160000000000e+001,1.63485000000000e+002
1.60000000000000e+002,2.06759000000000e+001,1.58744000000000e+002
2.26274000000000e+002,1.95591000000000e+001,1.49191000000000e+002
3.20000000000000e+002,1.72555000000000e+001,1.32787000000000e+002
4.52548000000000e+002,1.41506000000000e+001,1.26727000000000e+002
4.52548000000000e+002,1.41506000000000e+001,1.26727000000000e+002
6.40000000000000e+002,1.14431000000000e+001,1.14468000000000e+002
9.05097000000000e+002,8.18918000000000e+000,1.05438000000000e+002
1.28000000000000e+003,4.51657000000000e+000,1.01932000000000e+002
1.81019000000000e+003,1.75771000000000e+000,1.01062000000000e+002
2.56000000000000e+003,-1.35684000000000e+000,1.01290000000000e+002
3.62039000000000e+003,-4.33715000000000e+000,1.01761000000000e+002
5.12000000000000e+003,-7.37348000000000e+000,1.05155000000000e+002
7.24077000000000e+003,-1.03956000000000e+001,1.10051000000000e+002
1.02400000000000e+004,-1.34789000000000e+001,1.19100000000000e+002
1.44815000000000e+004,-1.64209000000000e+001,1.31356000000000e+002
2.04800000000000e+004,-1.92366000000000e+001,1.49949000000000e+002
2.89631000000000e+004,-2.12266000000000e+001,1.76217000000000e+002
4.09600000000000e+004,-2.19841000000000e+001,-1.51399000000000e+002
5.79262000000000e+004,-2.03669000000000e+001,-1.26421000000000e+002
8.19200000000000e+004,-1.85094000000000e+001,-1.12286000000000e+002
1.15852000000000e+005,-1.69280000000000e+001,-9.60430000000000e+001
1.63840000000000e+005,-1.36011000000000e+001,-7.64968000000000e+001
2.31705000000000e+005,-9.02134000000000e+000,-6.28002000000000e+001
3.27680000000000e+005,-4.18624000000000e+000,-4.72098000000000e+001
4.63410000000000e+005,1.76626000000000e+000,-3.74729000000000e+001
6.55360000000000e+005,6.21018000000000e+000,-3.72023000000000e+001
9.26819000000000e+005,1.36708000000000e+001,-3.45635000000000e+001
1.00000000000000e+006,1.67755000000000e+001,-3.53218000000000e+001
