Alpha,Theta,Device,Sensor0,Visible0,IR0,Sensor1,Visible1,IR1,Sensor2,Visible2,IR2,Sensor3,Visible3,IR3,Sensor4,Visible4,IR4,Sensor5,Visible5,IR5,Sensor6,Visible6,IR6,Sensor7,Visible7,IR7,Sensor8,Visible8,IR8,Sensor9,Visible9,IR9,Sensor10,Visible10,IR10,Sensor11,Visible11,IR11,TempSensor0,Temp0,TempSensor1,Temp1,TempSensor2,Temp2,TempSensor3,Temp3
0,-70,BH1730,ch0,155,122,ch1,173,137,ch2,167,129,ch3,24127,14572,ch4,24348,16308,ch5,23747,16373,ch6,742,724,ch7,7172,5590,ch8,8395,6065,ch9,635,448,ch10,495,331,ch11,499,347,t0, 0, t1, 0, t2, 0, t3, 0
0,-65,BH1730,ch0,165,125,ch1,190,147,ch2,191,146,ch3,23131,14271,ch4,23476,15815,ch5,22513,15515,ch6,1501,1320,ch7,9657,7155,ch8,10845,7510,ch9,817,584,ch10,622,422,ch11,481,336,t0, 0, t1, 0, t2, 0, t3, 0
0,-60,BH1730,ch0,202,145,ch1,240,182,ch2,247,185,ch3,22028,14074,ch4,22502,14891,ch5,21312,14812,ch6,11104,6222,ch7,12025,8589,ch8,13262,8925,ch9,862,619,ch10,689,473,ch11,526,371,t0, 0, t1, 0, t2, 0, t3, 0
0,-55,BH1730,ch0,238,171,ch1,283,214,ch2,295,218,ch3,20851,13456,ch4,21437,13832,ch5,19831,13822,ch6,14047,8344,ch7,14412,10028,ch8,15683,10445,ch9,806,579,ch10,652,454,ch11,505,353,t0, 0, t1, 0, t2, 0, t3, 0
0,-50,BH1730,ch0,254,185,ch1,303,228,ch2,326,236,ch3,19138,12691,ch4,20111,12991,ch5,18261,12822,ch6,16276,10555,ch7,16699,11301,ch8,17570,11549,ch9,737,540,ch10,594,416,ch11,426,307,t0, 0, t1, 0, t2, 0, t3, 0
0,-45,BH1730,ch0,258,187,ch1,304,225,ch2,335,239,ch3,17384,11283,ch4,18437,12335,ch5,16772,11830,ch6,18330,12185,ch7,18563,12539,ch8,19616,12623,ch9,629,469,ch10,497,357,ch11,357,261,t0, 0, t1, 0, t2, 0, t3, 0
0,-40,BH1730,ch0,275,198,ch1,298,218,ch2,323,228,ch3,15381,9904,ch4,16446,10881,ch5,14957,10311,ch6,20283,13615,ch7,20134,13442,ch8,21398,13822,ch9,503,382,ch10,398,292,ch11,327,245,t0, 0, t1, 0, t2, 0, t3, 0
0,-35,BH1730,ch0,322,229,ch1,331,239,ch2,324,225,ch3,13066,8792,ch4,14307,9779,ch5,12783,8024,ch6,21851,14299,ch7,21867,14511,ch8,22843,14890,ch9,397,309,ch10,344,260,ch11,314,238,t0, 0, t1, 0, t2, 0, t3, 0
0,-30,BH1730,ch0,346,246,ch1,356,258,ch2,322,223,ch3,10862,7698,ch4,12053,8602,ch5,9877,5648,ch6,23204,15298,ch7,23406,15330,ch8,24095,16298,ch9,333,266,ch10,314,243,ch11,297,226,t0, 0, t1, 0, t2, 0, t3, 0
0,-25,BH1730,ch0,361,257,ch1,373,269,ch2,344,235,ch3,8748,6418,ch4,9777,7150,ch5,1435,1256,ch6,24072,15816,ch7,24473,15903,ch8,25214,16693,ch9,302,246,ch10,291,229,ch11,271,211,t0, 0, t1, 0, t2, 0, t3, 0
0,-20,BH1730,ch0,379,275,ch1,362,261,ch2,341,233,ch3,6663,5098,ch4,7485,5596,ch5,789,742,ch6,24399,15952,ch7,25307,16197,ch8,25963,16608,ch9,283,235,ch10,275,221,ch11,255,203,t0, 0, t1, 0, t2, 0, t3, 0
0,-15,BH1730,ch0,392,282,ch1,343,248,ch2,329,224,ch3,4551,3857,ch4,5085,3650,ch5,475,460,ch6,24748,16143,ch7,25704,16405,ch8,25974,16758,ch9,270,229,ch10,263,216,ch11,245,196,t0, 0, t1, 0, t2, 0, t3, 0
0,-10,BH1730,ch0,331,238,ch1,343,248,ch2,345,235,ch3,2408,2378,ch4,1027,681,ch5,259,245,ch6,24991,16344,ch7,25833,16775,ch8,26076,17324,ch9,255,220,ch10,247,204,ch11,229,185,t0, 0, t1, 0, t2, 0, t3, 0
0,-5,BH1730,ch0,369,264,ch1,383,273,ch2,383,257,ch3,414,300,ch4,201,181,ch5,176,163,ch6,25324,16686,ch7,25989,16800,ch8,26077,17445,ch9,253,222,ch10,238,197,ch11,222,179,t0, 0, t1, 0, t2, 0, t3, 0
0,0,BH1730,ch0,395,282,ch1,410,291,ch2,435,291,ch3,150,128,ch4,158,138,ch5,195,160,ch6,25320,16531,ch7,25820,16788,ch8,26121,17350,ch9,250,222,ch10,229,190,ch11,208,172,t0, 0, t1, 0, t2, 0, t3, 0
0,5,BH1730,ch0,398,285,ch1,460,325,ch2,494,331,ch3,144,123,ch4,156,136,ch5,158,139,ch6,25215,16621,ch7,25653,16521,ch8,25907,16726,ch9,261,238,ch10,271,233,ch11,370,294,t0, 0, t1, 0, t2, 0, t3, 0
0,10,BH1730,ch0,394,284,ch1,513,362,ch2,513,342,ch3,145,122,ch4,159,137,ch5,155,133,ch6,24834,16534,ch7,25392,16551,ch8,25253,16482,ch9,341,323,ch10,557,427,ch11,2953,2600,t0, 0, t1, 0, t2, 0, t3, 0
0,15,BH1730,ch0,449,324,ch1,511,362,ch2,507,337,ch3,150,124,ch4,166,141,ch5,163,137,ch6,24419,16190,ch7,25036,16631,ch8,24862,16632,ch9,527,501,ch10,5187,3495,ch11,5310,4446,t0, 0, t1, 0, t2, 0, t3, 0
0,20,BH1730,ch0,537,387,ch1,515,364,ch2,445,299,ch3,162,131,ch4,180,149,ch5,178,146,ch6,23617,16304,ch7,24589,16214,ch8,24093,16442,ch9,721,685,ch10,7816,5375,ch11,7759,5683,t0, 0, t1, 0, t2, 0, t3, 0
0,25,BH1730,ch0,556,402,ch1,485,349,ch2,397,273,ch3,177,137,ch4,192,156,ch5,193,154,ch6,22619,15533,ch7,23781,15936,ch8,23283,15954,ch9,1363,1218,ch10,10334,6831,ch11,10088,7030,t0, 0, t1, 0, t2, 0, t3, 0
0,30,BH1730,ch0,478,344,ch1,482,347,ch2,391,270,ch3,200,151,ch4,214,169,ch5,217,168,ch6,21762,14813,ch7,22710,15156,ch8,22213,14831,ch9,10671,4646,ch10,12930,8307,ch11,12438,8347,t0, 0, t1, 0, t2, 0, t3, 0
0,35,BH1730,ch0,451,325,ch1,422,305,ch2,378,264,ch3,226,167,ch4,243,186,ch5,254,189,ch6,20724,14115,ch7,21500,13979,ch8,20813,13694,ch9,14461,8404,ch10,15285,9580,ch11,14771,9608,t0, 0, t1, 0, t2, 0, t3, 0
0,40,BH1730,ch0,446,326,ch1,412,299,ch2,355,250,ch3,257,186,ch4,278,207,ch5,318,230,ch6,19531,13247,ch7,20007,13378,ch8,19304,12515,ch9,16687,10302,ch10,17476,11091,ch11,16906,10847,t0, 0, t1, 0, t2, 0, t3, 0
0,45,BH1730,ch0,507,375,ch1,471,348,ch2,395,276,ch3,295,211,ch4,334,244,ch5,405,288,ch6,18125,12394,ch7,18326,12439,ch8,17615,11041,ch9,19006,12203,ch10,19560,12343,ch11,19104,11981,t0, 0, t1, 0, t2, 0, t3, 0
0,50,BH1730,ch0,478,354,ch1,456,342,ch2,410,287,ch3,330,232,ch4,392,286,ch5,484,338,ch6,16465,11418,ch7,16408,11109,ch8,15751,9825,ch9,20958,13311,ch10,21394,13111,ch11,20914,13134,t0, 0, t1, 0, t2, 0, t3, 0
0,55,BH1730,ch0,443,327,ch1,423,314,ch2,392,277,ch3,363,253,ch4,438,316,ch5,563,387,ch6,14644,10190,ch7,14594,9849,ch8,13649,8031,ch9,22656,14634,ch10,22884,14093,ch11,22669,14277,t0, 0, t1, 0, t2, 0, t3, 0
0,60,BH1730,ch0,447,328,ch1,434,321,ch2,402,281,ch3,389,267,ch4,459,325,ch5,604,414,ch6,12539,8819,ch7,12426,8365,ch8,10886,6232,ch9,23817,15367,ch10,23655,14948,ch11,23808,15280,t0, 0, t1, 0, t2, 0, t3, 0
0,65,BH1730,ch0,477,344,ch1,471,339,ch2,421,291,ch3,406,275,ch4,455,316,ch5,591,402,ch6,10337,7314,ch7,10164,6759,ch8,1679,1353,ch9,24813,16401,ch10,24364,15954,ch11,24704,15746,t0, 0, t1, 0, t2, 0, t3, 0
0,70,BH1730,ch0,536,381,ch1,540,380,ch2,475,323,ch3,487,335,ch4,486,339,ch5,527,356,ch6,7977,5999,ch7,7684,5324,ch8,788,722,ch9,25589,16488,ch10,24859,15920,ch11,25617,15954,t0, 0, t1, 0, t2, 0, t3, 0
0,75,BH1730,ch0,620,436,ch1,624,432,ch2,550,368,ch3,536,356,ch4,545,383,ch5,481,325,ch6,5569,4491,ch7,5153,3557,ch8,449,431,ch9,26004,16834,ch10,25453,16013,ch11,25907,16597,t0, 0, t1, 0, t2, 0, t3, 0
0,80,BH1730,ch0,703,489,ch1,718,490,ch2,631,416,ch3,648,431,ch4,638,436,ch5,614,417,ch6,3307,2862,ch7,1260,782,ch8,239,223,ch9,25988,17004,ch10,26057,15931,ch11,25938,16937,t0, 0, t1, 0, t2, 0, t3, 0
0,85,BH1730,ch0,747,518,ch1,746,509,ch2,645,426,ch3,774,517,ch4,712,486,ch5,739,495,ch6,465,357,ch7,200,189,ch8,179,162,ch9,26111,16926,ch10,26068,16359,ch11,26041,16975,t0, 0, t1, 0, t2, 0, t3, 0
0,90,BH1730,ch0,774,538,ch1,733,504,ch2,626,422,ch3,869,587,ch4,834,567,ch5,827,548,ch6,160,145,ch7,164,148,ch8,170,150,ch9,25763,16987,ch10,25815,16487,ch11,25756,16829,t0, 0, t1, 0, t2, 0, t3, 0
